	Cragig|100	Cragig|62	Cragig|66	Cragig|80	Cragig|96	Cragig|Cath+-1	Cragig|Cath+-2	Cragig|Cilia-1	Cragig|Cilia-2	Cragig|Cilia-3	Cragig|Cilia-p1	Cragig|Cilia-p2	Cragig|Gut-1	Cragig|Gut-2	Cragig|Gut-3	Cragig|Gut-4	Cragig|Gut-rel-1	Cragig|Gut-rel-2	Cragig|Gut-rel-3	Cragig|Gut-top	Cragig|Gut-unk-1	Cragig|Gut-unk-2	Cragig|Gut-unk-3	Cragig|Gut-unk-4	Cragig|Mes-Macif+1	Cragig|Mes-Macif+2	Cragig|Mes-TegA+1	Cragig|Mes-TegA+2	Cragig|Mes-TegA+3	Cragig|Myo-1	Cragig|Myo-2	Cragig|Myo-p1	Cragig|Myo-p2	Cragig|Neo-1	Cragig|Neo-2	Cragig|Neo-3	Cragig|Neuron-APGWV+	Cragig|Neuron-GNRH+	Cragig|Neuron-IPRF+	Cragig|Neuron-LASGV+	Cragig|Neuron-MIP+	Cragig|Neuron-Sy65-4+	Cragig|Neuron-cilia-1	Cragig|Neuron-cilia-2	Cragig|Neuron-p1	Cragig|Neuron-p2	Cragig|Pharynx	Cragig|Proneph	Cragig|Rha-1	Cragig|Rha-2	Cragig|Unk
Procro|Hem-3	0.0	0.14589705083846988	0.20406874368461783	0.0	0.002850194221440319	0.15093477945962466	0.19800687160251448	0.0	0.0	0.0	0.22311849175252124	0.10840458773052872	0.0	0.03407540508610573	0.0	0.0	0.0	0.0	0.0	0.006581551907742399	0.14918391508855022	0.12764276922754386	0.0	0.0	0.0	0.0	0.04379317826016236	0.0	0.042550356862382836	0.0	0.0	0.21976706215383426	0.21148565853553042	0.23452947499549937	0.22428804764745666	0.21828256737013682	0.0	0.0	0.0	0.04504787409618341	0.0	0.0	0.0	0.0	0.20766416805071716	0.0717649371481717	0.0	0.0	0.11407277288706962	0.11486973162889373	0.1614792976870148
Procro|Hem-4	0.0	0.08510408924706178	0.012785749333582501	0.0	0.0	0.2174345830341405	0.2935016573069004	0.007601156417407966	0.0	0.0	0.0	0.0	0.03380439632204507	0.06542652793768396	0.05765447790545533	0.0	0.0	0.0	0.0	0.1256865635511414	0.10139704054797652	0.009938142098338106	0.06615245620170039	0.0	0.0	0.006616008644674041	0.07231329424289157	0.013223109204170316	0.07809670888170106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004476874570808097	0.0	0.0	0.0	0.0	0.0495177699763949	0.048028843076123214	0.01960740504933111	0.03864297440014176	0.0
Procro|Myo-AA	0.03275101591007612	0.017550790686499926	0.0	0.0	0.022607468529301258	0.03698208984986391	0.031592790229807606	0.0	0.0	0.0	0.0	0.0	0.012112130972129771	0.0	0.0	0.0	0.0	0.03584297541554329	0.05117689262803056	0.0019933236942370077	0.027625265097210312	0.12786147645056384	0.10927849520686261	0.08524222312216222	0.026773461200191497	0.006810266035646866	0.0	0.01437034980160562	0.0	0.5861237160696263	0.5684183343027618	0.0	0.024614984210603544	0.0	0.0	0.0	0.004620211630282283	0.01137628424975676	0.05496572989523225	0.0	0.013295903576368921	0.029753213422414656	0.0	0.0035708206107947687	0.0	0.03260989483898884	0.05381067062961648	0.02660343752836208	0.011715094609522246	0.0	0.04040406523871753
Procro|Myo-DVR-1	0.015580458330553333	0.010986703385948985	0.0	0.0	0.015565168018260238	0.018455784182600334	0.012179151523329329	0.0	0.0	0.0	0.0	0.0	0.005969534840426433	0.0	0.0	0.0	0.0	0.02532138924347835	0.04398662903518929	0.0	0.026836063513759417	0.13072191818525772	0.09532573123372488	0.07836013336066053	0.02443317468937033	0.006686690858250242	0.0	0.0	0.0	0.6396587571484438	0.640558173589503	0.008239261724302846	0.046081944158921966	0.0	0.0	0.0	0.008141465201314138	0.0	0.06681558317190307	0.005734546361941855	0.0	0.04341819822116856	0.0	0.0	0.009659967128482072	0.007522668698698549	0.07124523566620392	0.015125625384433516	0.006455073080028455	0.0	0.06723250438935947
Procro|Myo-DVR-2	0.0055693546118594445	0.007439064539341915	0.0	0.0	0.019157555289015887	0.025414334104196638	0.0018522261169884988	0.0	0.0	0.0	0.002983984279900864	0.0	0.0	0.0	0.0	0.0	0.0	0.02542327236456545	0.03591154930149423	0.0	0.04480365429264815	0.16507040986176788	0.08986340581186363	0.08452600900057416	0.025938220668481043	0.008482883706202154	0.0	0.0	0.0	0.5987898198957479	0.5910996522245857	0.07226482724524015	0.0949323900827914	0.04435351837171949	0.04904316067717276	0.05152609287224876	0.0	0.0015514324114942872	0.08954358069128493	0.059094014112466245	0.007734395878286761	0.03162961362932211	0.0	0.0	0.06280292105347253	0.08638329234335804	0.05019455472326472	0.0	0.009848397608224115	0.0	0.1311239704396601
Procro|Myo-DVR-3	0.0	0.011160275124553233	0.0	0.0	0.0	0.03542239470776717	0.021127224887985775	0.0	0.0	0.0	0.0	0.0	0.007854918448398461	0.0	0.0	0.00999926839950814	0.0	0.04268584059567652	0.03500885260904183	0.002765650692494962	0.03502805706801059	0.12234519854071348	0.0978465089048033	0.08080480144904963	0.01957343240601204	0.009234023161703247	0.0017076673222255197	0.025011080498011318	0.0	0.538107211826679	0.5627289642861056	0.0	0.0	0.0	0.0	0.0	0.01087798240158029	0.027703089161830657	0.07749580475093497	0.0	0.030692944152055573	0.06622684328926051	0.017380006647378734	0.011535235338581086	0.0009937054558173072	0.06786992357105676	0.05118302471438395	0.0	0.0153287214128282	0.0	0.03662462886994723
Procro|Myo-LVR-1	0.02180360084398001	0.0	0.0	0.015574231027523325	0.0	0.018246743467955927	0.031459133581214355	0.0	0.06944455143669641	0.04574529048046659	0.0	0.0	0.002007586067012894	0.0	0.006869827646506065	0.07968647058192496	0.0047287553661439176	0.07928828506908779	0.044359240140844115	0.04326977939301967	0.0	0.06945996750478682	0.19964545657391514	0.20735712069494475	0.07231837836526922	0.0836312763821573	0.0	0.10893912303855206	0.0	0.4704569779877945	0.5058004328412029	0.0	0.0	0.0	0.0	0.0	0.04376221424402416	0.11675546611382549	0.0536169400599332	0.0176176995853701	0.09005419637936724	0.13912435073994947	0.053566940694369895	0.05376810862371859	0.0	0.029045089323035338	0.05403311908757617	0.05942983714130084	0.013017967071447855	0.0	0.0
Procro|Myo-LVR-2	0.0	0.0	0.0	0.008944820925316765	0.0	0.03699910518852366	0.039151163075616224	0.0	0.06355853778064495	0.03264686345739105	0.0	0.0	0.007984726475658031	0.0	0.011206939908405336	0.06999901316592387	0.004006829939743709	0.07967271161501074	0.0383185422523859	0.03069421021255331	0.006301483177214832	0.052976173966633594	0.18275237519500434	0.15832627020760298	0.03053976437518557	0.030074317499502082	0.0	0.08066397642158017	0.0	0.4347306062545148	0.489336405981861	0.0	0.0	0.0	0.0	0.0	0.03977058402674879	0.10416989844048058	0.0556292947880063	0.0	0.08487185678157297	0.1687662455118898	0.05088068235965754	0.04560098454792793	0.0	0.054122582990609056	0.04476394386243057	0.03811181812112004	0.020595770990462982	0.0	0.0
Procro|Myo-Pax6+	0.0	0.0319094620915255	0.09772964069828106	0.0	0.015241666239451192	0.0	0.0	0.0	0.0	0.0	0.1509045519688698	0.0786624268794314	0.0	0.00603135943323554	0.0	0.0	0.0	0.0	0.0	0.0	0.029567270386158914	0.104800492691985	0.04743525575532993	0.016513808478441867	0.02916127575024097	0.041283486446087744	0.007415783749100352	0.0	0.0	0.3252066499554605	0.29860723655028926	0.11978478301320984	0.17036855259435824	0.11087932115230485	0.08203107975562833	0.07244030568237653	0.0	0.0	0.031329866678310336	0.03924725527324537	0.0	0.018493247962260984	0.0	0.0	0.22540947199250747	0.1101018440773761	0.0	0.0	0.026801174969722702	0.02726005114916296	0.10670598297083043
Procro|Myo-VVR	0.0	0.01927755972747217	0.08067142630429336	0.0	0.024917086593022126	0.029842487847436525	0.03144562432034489	0.0	0.0	0.0	0.1341940266538053	0.07157705923152334	0.0	0.009699150178300937	0.0	0.0	0.0	0.0	0.0	0.0	0.07139427617783388	0.12298073238679061	0.12566609319907618	0.04688921760620214	0.0	0.0	0.01432161946015468	0.0	0.0006837001769582232	0.343109177197361	0.39768191495641664	0.11366598663592564	0.15646217779738553	0.11022912672799909	0.08674238369410371	0.08330915222781805	0.0	0.0	0.04041302041522981	0.04462903586650041	0.0	0.0	0.0	0.0	0.20273327904340746	0.12335700419987126	0.0	0.0	0.02018976994521628	0.02374350555224709	0.10474498776469805
