	13.21	15	25	48	49	Cilia-1	Cilia-2	Cilia-3	Cilia-4	Hem-1	Hem-2	Hem-3	Hem-4	Myo-AA	Myo-DVR-1	Myo-DVR-2	Myo-DVR-3	Myo-LVR-1	Myo-LVR-2	Myo-Pax6+	Myo-VVR	Neu-Ap	Neu-Pos	Pro-1	Pro-2	Pro-3	Pro-4	Pro-5	Pro-6	She-1	She-2	She-3	She-4	She-5	She-rel	Unk	Unk-Apical
Cragig_G27280	1.0122562451677537	1.0153341302117553	0.9576931528394996	1.0807833409450498	0.926639788216845	1.0227903348379241	1.0104043627529542	1.0300252281545916	0.926639788216845	1.0914528881595593	1.0617273082873167	1.0289980691648475	0.9912631860962482	0.9513948535710719	0.9512259887040106	0.9896594231472517	0.9344369980209231	1.0449616384834195	0.969109066753697	0.9421146341939519	0.9534190936073097	0.9883504683308924	1.032851602814047	0.9798302212088443	1.0172305607551977	1.058519761984135	0.926639788216845	1.0464547827880697	1.166789651930684	0.926639788216845	1.0248719680358098	1.036453859399419	0.9626922256349968	0.926639788216845	1.0364783590901008	1.0	0.926639788216845
Cragig_G26901	0.7506141897302386	0.8653455142749036	0.6806260831771543	0.6492260766694072	0.5847896669772179	0.830248290009043	1.1743573714559878	1.1525046855043217	0.6176635636155845	1.34247865424633	1.2330868534466843	1.462845627698116	1.0895753704494768	1.0356301549246183	1.0	0.9166454389534382	0.8099424356377862	0.6028359561847698	0.551510958103766	1.6296904731276098	1.558826498044855	1.0312058419778525	0.873214699728658	1.685523818051145	2.3037121152269724	1.9265096907500163	1.3431043670822598	1.4651027282449551	1.8894486896097822	0.6952933419652798	0.47587881090049217	0.6137332331016063	0.5397797351024586	0.7014862220775686	0.8974828493929841	1.1317525274321079	1.68277142118121
Cragig_G27666	1.112085814411145	1.0953235801094043	1.033315675056143	0.7902687092952454	0.8286397755525886	1.128014424685146	1.0832061348675055	0.9042518827533708	0.8030960658847397	1.5473719359439133	1.3150101502013982	1.454678296242291	0.8949521689064748	0.8338348152416228	0.7682607410080204	1.0554897066163058	0.7850173543683806	0.9410703187660293	0.8669926608736239	0.871784040616586	1.0	1.0768100684644235	0.8824363175606907	1.2719369661753595	1.0887983710194777	1.3142069608795302	1.1332373715354267	1.333536994912556	1.942419037650405	0.9758720708974079	0.9424292430588497	0.7578549952439532	0.9089750328829046	0.7976120565615916	1.3690406972430285	1.2818786957433044	0.8739041490795028
Cragig_G24984	1.0281240275040704	0.9280393031780594	1.2562171185205382	1.0	0.8573779342366438	0.901784243033872	1.0544258802262891	1.1765497306819066	1.0162316392369042	0.8794101982058115	0.8885627328200701	0.8779782099594539	0.8752029707558507	0.9429604098960881	0.9394070828471734	1.0749692844765704	0.9139220104987039	0.9668557969904426	0.8966728390782711	0.9293666549391163	0.9267814397722446	1.0956725426429812	0.9754474358820495	1.9770202568408741	1.2655155053958187	1.4197820208158458	1.737140039421	1.0587259161467495	1.079577754141204	1.004078183475652	0.9914945402553414	1.1877038270570597	0.988078026284319	1.0092922156476307	1.1729876190014956	1.07959017529516	0.9560271992189889
Cragig_G25962	0.985768120677592	0.985768120677592	0.985768120677592	1.0673272678603003	0.985768120677592	0.985768120677592	1.009714731006253	1.001797039127783	0.985768120677592	1.2134795276216048	1.0401451383941296	1.0452825826473229	0.9925872554712251	0.9923282842746218	0.985768120677592	1.0047656082912657	1.0107306076209857	1.1116400176709487	0.985768120677592	1.0187383091513913	1.0	1.3716382362100763	0.985768120677592	0.985768120677592	1.042610742184257	1.0090733949473543	1.0396152239687335	0.985768120677592	0.985768120677592	0.985768120677592	1.0053285418343842	0.985768120677592	1.0176522548203992	0.985768120677592	0.985768120677592	1.0169459545896906	1.1563202903203584
Cragig_G25052	1.0144977975643779	1.0548258950599216	0.9916557137392975	0.9916557137392975	0.9916557137392975	0.9916557137392975	1.0025999837426958	1.01202805128377	0.9916557137392975	1.0025381198106027	1.0019188995519908	0.9975972609619619	0.9985155764585509	0.9982550585320541	0.9916557137392975	1.0011954945583403	1.0	0.9916557137392975	1.1289079323907238	0.999930290342953	1.0203139383677973	1.2762976059658167	0.9916557137392975	0.9916557137392975	1.0603294990252567	1.0151001809573947	0.9916557137392975	1.0420573544850174	0.9916557137392975	1.0477840013037414	1.0129236345400008	0.9916557137392975	1.0043936180259956	0.9916557137392975	0.9916557137392975	1.0230197602046014	1.048565070949919
Cragig_G27203	0.8436545110370706	0.9214813359580626	0.8914484893178932	1.1183844937629432	0.8228456024357569	0.9339460304188201	1.0840150986253854	1.1698736890488202	0.8780485273595028	1.0141651011787711	0.8695788039870922	1.045957853900734	0.85348341507222	1.0008981706141689	1.036418678023375	1.1386769118516111	1.0930052050300245	0.740795113515965	0.8779572675069586	0.9171468377788604	0.9031550371254707	1.189026342161057	1.1271149644192184	1.2318380515395804	1.4437903475016154	1.3102629980797929	1.3318472455122683	1.051225386319511	1.1309122094316642	0.9536728422327957	0.9103549966989459	0.8285851354444301	0.9058834576194982	0.8720526988219651	1.0	1.0136034210878724	0.8260304461886304
Cragig_G24706	1.0412135405597898	1.0269656271361833	0.9953180121369912	0.9953180121369912	0.9953180121369912	0.9953180121369912	1.006302700585967	1.026081377322762	0.9953180121369912	1.0062406081832704	0.9953180121369912	1.0012815021756671	1.002203209116812	1.0730294549363715	1.0482539733866516	0.9953180121369912	0.9953180121369912	0.9953180121369912	0.9953180121369912	0.9953180121369912	1.0240820748791464	1.0282105107696264	0.9953180121369912	0.9953180121369912	0.9953180121369912	1.0	1.0224251685789383	0.9953180121369912	0.9953180121369912	1.0516535879112086	1.041596518859978	1.1132709906556861	1.0275110323291174	0.9953180121369912	1.0245925822865654	1.0110514490382239	0.9953180121369912
Cragig_G27992	1.0526413345121177	1.0739366114891635	0.9636091137367662	0.9636091137367662	1.070338487982247	1.164264051858892	1.0278942524308936	1.2269863386619608	1.1421451732463792	0.9706525960260507	0.9735820299899214	0.9809589516354728	0.9636091137367662	1.0023154274091937	0.9636091137367662	1.0157736291224486	1.0044060645465802	0.9636091137367662	1.0077727514008539	0.9797013459146093	1.0054163551388366	1.1495063146917863	0.9997560523387146	0.9636091137367662	1.101241642249252	1.036398860459847	0.9636091137367662	1.0615262850490041	0.9636091137367662	1.018149947502138	1.0	0.9636091137367662	0.9895505610892401	0.9636091137367662	0.9636091137367662	1.047542158954973	0.9636091137367662
Cragig_G24520	1.0528486900120133	1.2699871934326439	0.7844370095159312	0.7251582626911169	0.7531826807884563	1.3675659064077712	1.4017918904502513	1.5276475770703786	1.0	1.425173306716748	0.7402165405406242	0.8642598189552614	0.7696561849647673	1.0092022703402244	1.0493196056399527	0.8506045024061502	0.6497937802294567	0.5790398479268469	0.6547276797012183	0.7158955882588685	0.7395850545423766	1.0684647776554794	1.4803668932198433	0.8897854189151353	0.6730516345211273	0.7734196818886314	0.7771322844827439	0.9367611134673566	0.7515223523612224	2.2557862480991875	1.7259934892224797	1.2356528055740645	2.101662619836912	1.7151401397326873	2.3728135071623404	1.1230840095532069	1.0182773052071192
